Name,Start,End,Size
FUN_BATTLE_text__00467d10,0x00467D10,0x00467DCC,188
FUN_BATTLE_text__00467dd0,0x00467DD0,0x00467E1C,76
FUN_BATTLE_text__00467e20,0x00467E20,0x00468258,1080
FUN_BATTLE_text__00468260,0x00468260,0x004682E0,128
FUN_BATTLE_text__004682e0,0x004682E0,0x00468410,304
FUN_BATTLE_text__00468410,0x00468410,0x00468490,128
FUN_BATTLE_text__00468490,0x00468490,0x0046854C,188
FUN_BATTLE_text__00468550,0x00468550,0x0046860C,188
FUN_BATTLE_text__00468610,0x00468610,0x00468728,280
FUN_BATTLE_text__00468730,0x00468730,0x004689C0,656
FUN_BATTLE_text__004689c0,0x004689C0,0x00468A6C,172
FUN_BATTLE_text__00468a70,0x00468A70,0x00468AB4,68
FUN_BATTLE_text__00468ac0,0x00468AC0,0x00468AF0,48
FUN_BATTLE_text__00468af0,0x00468AF0,0x00468B94,164
FUN_BATTLE_text__00468ba0,0x00468BA0,0x00468C10,112
FUN_BATTLE_text__00468c10,0x00468C10,0x00468D28,280
FUN_BATTLE_text__00468d30,0x00468D30,0x00468F50,544
FUN_BATTLE_text__00468f50,0x00468F50,0x00469048,248
FUN_BATTLE_text__00469050,0x00469050,0x00469094,68
FUN_BATTLE_text__004690a0,0x004690A0,0x004690F8,88
FUN_BATTLE_text__00469100,0x00469100,0x00469264,356
FUN_BATTLE_text__00469270,0x00469270,0x004692B4,68
FUN_BATTLE_text__004692c0,0x004692C0,0x004693D4,276
FUN_BATTLE_text__004693e0,0x004693E0,0x00469448,104
FUN_BATTLE_text__00469450,0x00469450,0x004694BC,108
FUN_BATTLE_text__004694c0,0x004694C0,0x004695E0,288
FUN_BATTLE_text__004695e0,0x004695E0,0x00469940,864
FUN_BATTLE_text__00469940,0x00469940,0x00469AA4,356
FUN_BATTLE_text__00469ab0,0x00469AB0,0x00469B30,128
FUN_BATTLE_text__00469b30,0x00469B30,0x00469BB0,128
FUN_BATTLE_text__00469bb0,0x00469BB0,0x00469DEC,572
FUN_BATTLE_text__00469df0,0x00469DF0,0x0046A59C,1964
FUN_BATTLE_text__0046a5a0,0x0046A5A0,0x0046A5D0,48
FUN_BATTLE_text__0046a5d0,0x0046A5D0,0x0046A7C4,500
FUN_BATTLE_text__0046a7d0,0x0046A7D0,0x0046A8E8,280
FUN_BATTLE_text__0046a8f0,0x0046A8F0,0x0046A9EC,252
FUN_BATTLE_text__0046a9f0,0x0046A9F0,0x0046AB04,276
FUN_BATTLE_text__0046ab10,0x0046AB10,0x0046AB48,56
FUN_BATTLE_text__0046ab50,0x0046AB50,0x0046AC0C,188
FUN_BATTLE_text__0046ac10,0x0046AC10,0x0046ACAC,156
FUN_BATTLE_text__0046acb0,0x0046ACB0,0x0046AD4C,156
FUN_BATTLE_text__0046ad50,0x0046AD50,0x0046ADB0,96
FUN_BATTLE_text__0046adb0,0x0046ADB0,0x0046AE80,208
FUN_BATTLE_text__0046ae80,0x0046AE80,0x0046AF08,136
FUN_BATTLE_text__0046af10,0x0046AF10,0x0046AFFC,236
FUN_BATTLE_text__0046b000,0x0046B000,0x0046B0EC,236
FUN_BATTLE_text__0046b0f0,0x0046B0F0,0x0046B194,164
FUN_BATTLE_text__0046b1a0,0x0046B1A0,0x0046B23C,156
FUN_BATTLE_text__0046b240,0x0046B240,0x0046B38C,332
FUN_BATTLE_text__0046b390,0x0046B390,0x0046B494,260
FUN_BATTLE_text__0046b4a0,0x0046B4A0,0x0046B504,100
FUN_BATTLE_text__0046b510,0x0046B510,0x0046B544,52
FUN_BATTLE_text__0046b550,0x0046B550,0x0046B584,52
FUN_BATTLE_text__0046b590,0x0046B590,0x0046B5C4,52
FUN_BATTLE_text__0046b5d0,0x0046B5D0,0x0046B60C,60
FUN_BATTLE_text__0046b610,0x0046B610,0x0046B69C,140
FUN_BATTLE_text__0046b6a0,0x0046B6A0,0x0046B72C,140
FUN_BATTLE_text__0046b730,0x0046B730,0x0046B76C,60
FUN_BATTLE_text__0046b770,0x0046B770,0x0046B790,32
FUN_BATTLE_text__0046b790,0x0046B790,0x0046B7E4,84
FUN_BATTLE_text__0046b7f0,0x0046B7F0,0x0046B944,340
FUN_BATTLE_text__0046b950,0x0046B950,0x0046B95C,12
FUN_BATTLE_text__0046b960,0x0046B960,0x0046BA04,164
FUN_BATTLE_text__0046ba10,0x0046BA10,0x0046BAF4,228
FUN_BATTLE_text__0046bb00,0x0046BB00,0x0046BC20,288
FUN_BATTLE_text__0046bc20,0x0046BC20,0x0046BC40,32
FUN_BATTLE_text__0046bc40,0x0046BC40,0x0046BC48,8
FUN_BATTLE_text__0046bc50,0x0046BC50,0x0046BC58,8
FUN_BATTLE_text__0046bc60,0x0046BC60,0x0046BC68,8
FUN_BATTLE_text__0046bc70,0x0046BC70,0x0046BC78,8
FUN_BATTLE_text__0046bc80,0x0046BC80,0x0046BD30,176
FUN_BATTLE_text__0046bd30,0x0046BD30,0x0046BEA0,368
FUN_BATTLE_text__0046bea0,0x0046BEA0,0x0046C618,1912
FUN_BATTLE_text__0046c620,0x0046C620,0x0046CD60,1856
FUN_BATTLE_text__0046cd60,0x0046CD60,0x0046CF2C,460
FUN_BATTLE_text__0046cf30,0x0046CF30,0x0046CF64,52
FUN_BATTLE_text__0046cf70,0x0046CF70,0x0046CFB4,68
FUN_BATTLE_text__0046cfc0,0x0046CFC0,0x0046CFE8,40
FUN_BATTLE_text__0046cff0,0x0046CFF0,0x0046D0F0,256
FUN_BATTLE_text__0046d0f0,0x0046D0F0,0x0046D16C,124
FUN_BATTLE_text__0046d170,0x0046D170,0x0046D178,8
FUN_BATTLE_text__0046d180,0x0046D180,0x0046D240,192
FUN_BATTLE_text__0046d240,0x0046D240,0x0046D4CC,652
FUN_BATTLE_text__0046d4d0,0x0046D4D0,0x0046D58C,188
FUN_BATTLE_text__0046d590,0x0046D590,0x0046D844,692
FUN_BATTLE_text__0046d850,0x0046D850,0x0046D920,208
FUN_BATTLE_text__0046d920,0x0046D920,0x0046D994,116
FUN_BATTLE_text__0046d9a0,0x0046D9A0,0x0046DB28,392
FUN_BATTLE_text__0046db30,0x0046DB30,0x0046DB58,40
FUN_BATTLE_text__0046db60,0x0046DB60,0x0046DBCC,108
FUN_BATTLE_text__0046dbd0,0x0046DBD0,0x0046DC38,104
FUN_BATTLE_text__0046dc40,0x0046DC40,0x0046DCA4,100
FUN_BATTLE_text__0046dcb0,0x0046DCB0,0x0046DD00,80
FUN_BATTLE_text__0046dd00,0x0046DD00,0x0046DD44,68
FUN_BATTLE_text__0046dd50,0x0046DD50,0x0046DE6C,284
FUN_BATTLE_text__0046de70,0x0046DE70,0x0046DEC4,84
FUN_BATTLE_text__0046ded0,0x0046DED0,0x0046DF24,84
FUN_BATTLE_text__0046df30,0x0046DF30,0x0046DFEC,188
FUN_BATTLE_text__0046dff0,0x0046DFF0,0x0046E088,152
FUN_BATTLE_text__0046e090,0x0046E090,0x0046E138,168
FUN_BATTLE_text__0046e140,0x0046E140,0x0046E1A4,100
FUN_BATTLE_text__0046e1b0,0x0046E1B0,0x0046E2D0,288
FUN_BATTLE_text__0046e2d0,0x0046E2D0,0x0046E36C,156
FUN_BATTLE_text__0046e370,0x0046E370,0x0046E4CC,348
FUN_BATTLE_text__0046e4d0,0x0046E4D0,0x0046E504,52
FUN_BATTLE_text__0046e510,0x0046E510,0x0046E638,296
FUN_BATTLE_text__0046e640,0x0046E640,0x0046E668,40
FUN_BATTLE_text__0046e670,0x0046E670,0x0046E758,232
FUN_BATTLE_text__0046e760,0x0046E760,0x0046E850,240
FUN_BATTLE_text__0046e850,0x0046E850,0x0046E888,56
FUN_BATTLE_text__0046e890,0x0046E890,0x0046E8D8,72
FUN_BATTLE_text__0046e8e0,0x0046E8E0,0x0046E9F4,276
FUN_BATTLE_text__0046ea00,0x0046EA00,0x0046EAA4,164
FUN_BATTLE_text__0046eab0,0x0046EAB0,0x0046EB98,232
thunk_FUN_BATTLE_text__0046edf0,0x0046EBA0,0x0046EBA8,8
FUN_BATTLE_text__0046ebb0,0x0046EBB0,0x0046EDE4,564
FUN_BATTLE_text__0046edf0,0x0046EDF0,0x0046EE44,84
FUN_BATTLE_text__0046ee50,0x0046EE50,0x0046EEBC,108
FUN_BATTLE_text__0046eec0,0x0046EEC0,0x0046EF58,152
FUN_BATTLE_text__0046ef60,0x0046EF60,0x0046F448,1256
FUN_BATTLE_text__0046f450,0x0046F450,0x0046F790,832
FUN_BATTLE_text__0046f790,0x0046F790,0x00470CBC,5420
FUN_BATTLE_text__00470cc0,0x00470CC0,0x00470CD8,24
