Name,Start,End,Size
FUN_BATTLE_text__00470eb0,0x00470EB0,0x00470F0C,92
FUN_BATTLE_text__00470f10,0x00470F10,0x00470FD8,200
FUN_BATTLE_text__00470fe0,0x00470FE0,0x00471078,152
FUN_BATTLE_text__00471080,0x00471080,0x0047110C,140
FUN_BATTLE_text__00471110,0x00471110,0x00471238,296
FUN_BATTLE_text__00471240,0x00471240,0x004712EC,172
FUN_BATTLE_text__004712f0,0x004712F0,0x0047144C,348
FUN_BATTLE_text__00471450,0x00471450,0x0047148C,60
FUN_BATTLE_text__00471490,0x00471490,0x004715D0,320
FUN_BATTLE_text__004715d0,0x004715D0,0x004715F8,40
FUN_BATTLE_text__00471600,0x00471600,0x004716E8,232
FUN_BATTLE_text__004716f0,0x004716F0,0x004717E0,240
FUN_BATTLE_text__004717e0,0x004717E0,0x00471818,56
FUN_BATTLE_text__00471820,0x00471820,0x00471868,72
FUN_BATTLE_text__00471870,0x00471870,0x00471984,276
FUN_BATTLE_text__00471990,0x00471990,0x00471A44,180
FUN_BATTLE_text__00471a50,0x00471A50,0x00471B40,240
thunk_FUN_BATTLE_text__00471d90,0x00471B40,0x00471B48,8
FUN_BATTLE_text__00471b50,0x00471B50,0x00471D84,564
FUN_BATTLE_text__00471d90,0x00471D90,0x00471DE4,84
FUN_BATTLE_text__00471df0,0x00471DF0,0x00471E5C,108
FUN_BATTLE_text__00471e60,0x00471E60,0x00471EF8,152
FUN_BATTLE_text__00471f00,0x00471F00,0x004723E8,1256
FUN_BATTLE_text__004723f0,0x004723F0,0x00472730,832
FUN_BATTLE_text__00472730,0x00472730,0x00473C6C,5436
FUN_BATTLE_text__00473c70,0x00473C70,0x00473C88,24
FUN_BATTLE_text__00473c90,0x00473C90,0x00473C98,8
FUN_BATTLE_text__00473ca0,0x00473CA0,0x00473CA8,8
FUN_BATTLE_text__00473cb0,0x00473CB0,0x00473CB8,8
FUN_BATTLE_text__00473cc0,0x00473CC0,0x00473CCC,12
FUN_BATTLE_text__00473cd0,0x00473CD0,0x00473CD8,8
FUN_BATTLE_text__00473ce0,0x00473CE0,0x00473EC4,484
FUN_BATTLE_text__00473ed0,0x00473ED0,0x00473EDC,12
FUN_BATTLE_text__00473ee0,0x00473EE0,0x00474078,408
FUN_BATTLE_text__00474080,0x00474080,0x00474088,8
FUN_BATTLE_text__00474090,0x00474090,0x00474098,8
FUN_BATTLE_text__004740a0,0x004740A0,0x0047411C,124
FUN_BATTLE_text__00474120,0x00474120,0x0047426C,332
FUN_BATTLE_text__00474270,0x00474270,0x004743B4,324
FUN_BATTLE_text__004743c0,0x004743C0,0x004743C8,8
FUN_BATTLE_text__004743d0,0x004743D0,0x004743D8,8
FUN_BATTLE_text__004743e0,0x004743E0,0x00474410,48
FUN_BATTLE_text__00474410,0x00474410,0x00474418,8
FUN_BATTLE_text__00474420,0x00474420,0x00474714,756
FUN_BATTLE_text__00474720,0x00474720,0x0047478C,108
FUN_BATTLE_text__00474790,0x00474790,0x004747FC,108
FUN_BATTLE_text__00474800,0x00474800,0x00474A68,616
FUN_BATTLE_text__00474a70,0x00474A70,0x00474FD0,1376
FUN_BATTLE_text__00474fd0,0x00474FD0,0x00474FD8,8
FUN_BATTLE_text__00474fe0,0x00474FE0,0x0047520C,556
FUN_BATTLE_text__00475210,0x00475210,0x00475218,8
FUN_BATTLE_text__00475220,0x00475220,0x00475228,8
FUN_BATTLE_text__00475230,0x00475230,0x00475258,40
thunk_FUN_0014f0d0,0x00475260,0x00475268,8
FUN_BATTLE_text__00475270,0x00475270,0x004754C8,600
FUN_BATTLE_text__004754d0,0x004754D0,0x00475984,1204
FUN_BATTLE_text__00475990,0x00475990,0x00475998,8
FUN_BATTLE_text__004759a0,0x004759A0,0x004759B0,16
FUN_BATTLE_text__004759b0,0x004759B0,0x004759B8,8
FUN_BATTLE_text__004759c0,0x004759C0,0x00475A74,180
FUN_BATTLE_text__00475a80,0x00475A80,0x00475AF4,116
FUN_BATTLE_text__00475b00,0x00475B00,0x00475BDC,220
FUN_BATTLE_text__00475be0,0x00475BE0,0x00475DA0,448
FUN_BATTLE_text__00475da0,0x00475DA0,0x00475F10,368
FUN_BATTLE_text__00475f10,0x00475F10,0x004760E8,472
FUN_BATTLE_text__004760f0,0x004760F0,0x00476140,80
FUN_BATTLE_text__00476140,0x00476140,0x0047614C,12
FUN_BATTLE_text__00476150,0x00476150,0x00476210,192
FUN_BATTLE_text__00476210,0x00476210,0x004762D4,196
FUN_BATTLE_text__004762e0,0x004762E0,0x0047633C,92
FUN_BATTLE_text__00476340,0x00476340,0x00476484,324
FUN_BATTLE_text__00476490,0x00476490,0x004765BC,300
FUN_BATTLE_text__004765c0,0x004765C0,0x0047671C,348
FUN_BATTLE_text__00476720,0x00476720,0x004767A0,128
FUN_BATTLE_text__004767a0,0x004767A0,0x0047688C,236
FUN_BATTLE_text__00476890,0x00476890,0x00476A3C,428
FUN_BATTLE_text__00476a40,0x00476A40,0x00476B18,216
FUN_BATTLE_text__00476b20,0x00476B20,0x00477930,3600
FUN_BATTLE_text__00477930,0x00477930,0x00477A24,244
FUN_BATTLE_text__00477a30,0x00477A30,0x00477AB4,132
FUN_BATTLE_text__00477ac0,0x00477AC0,0x00477B1C,92
FUN_BATTLE_text__00477b20,0x00477B20,0x00477BA0,128
FUN_BATTLE_text__00477ba0,0x00477BA0,0x00477DE0,576
FUN_BATTLE_text__00477de0,0x00477DE0,0x00477DEC,12
FUN_BATTLE_text__00477e00,0x00477E00,0x00477E54,84
FUN_BATTLE_text__00477e60,0x00477E60,0x00477EB4,84
FUN_BATTLE_text__00477ec0,0x00477EC0,0x00478000,320
thunk_FUN_002877b0,0x00478000,0x00478008,8
FUN_BATTLE_text__00478090,0x00478090,0x004780FC,108
FUN_BATTLE_text__00478100,0x00478100,0x004781AC,172
FUN_BATTLE_text__004781b0,0x004781B0,0x004781D0,32
FUN_BATTLE_text__004781d0,0x004781D0,0x004781FC,44
FUN_BATTLE_text__00478200,0x00478200,0x004785C4,964
FUN_BATTLE_text__004785d0,0x004785D0,0x00478884,692
FUN_BATTLE_text__00478890,0x00478890,0x00478898,8
FUN_BATTLE_text__004788a0,0x004788A0,0x00478A7C,476
