Name,Start,End,Size
FUN_MENU_text__0046b420,0x0046B420,0x0046B4D4,180
FUN_MENU_text__0046b4e0,0x0046B4E0,0x0046B59C,188
FUN_MENU_text__0046b5a0,0x0046B5A0,0x0046B5A8,8
FUN_MENU_text__0046b5b0,0x0046B5B0,0x0046B7A8,504
FUN_MENU_text__0046b7b0,0x0046B7B0,0x0046B830,128
FUN_MENU_text__0046b830,0x0046B830,0x0046BA08,472
FUN_MENU_text__0046ba08,0x0046BA08,0x0046BAA8,160
FUN_MENU_text__0046bbe0,0x0046BBE0,0x0046BC2C,76
FUN_MENU_text__0046bc30,0x0046BC30,0x0046BD0C,220
FUN_MENU_text__0046bd10,0x0046BD10,0x0046BF48,568
FUN_MENU_text__0046bf50,0x0046BF50,0x0046BF90,64
FUN_MENU_text__0046bf90,0x0046BF90,0x0046BFBC,44
FUN_MENU_text__0046bfc0,0x0046BFC0,0x0046C000,64
FUN_MENU_text__0046c000,0x0046C000,0x0046C29C,668
FUN_MENU_text__0046c2a0,0x0046C2A0,0x0046C508,616
FUN_MENU_text__0046c510,0x0046C510,0x0046C540,48
FUN_MENU_text__0046c540,0x0046C540,0x0046C588,72
FUN_MENU_text__0046c590,0x0046C590,0x0046C5D8,72
FUN_MENU_text__0046c5e0,0x0046C5E0,0x0046C68C,172
FUN_MENU_text__0046c690,0x0046C690,0x0046C744,180
FUN_MENU_text__0046c750,0x0046C750,0x0046C794,68
FUN_MENU_text__0046c7a0,0x0046C7A0,0x0046C824,132
FUN_MENU_text__0046c830,0x0046C830,0x0046C9DC,428
FUN_MENU_text__0046c9e0,0x0046C9E0,0x0046CA14,52
FUN_MENU_text__0046ca20,0x0046CA20,0x0046CA64,68
FUN_MENU_text__0046ca70,0x0046CA70,0x0046CA90,32
FUN_MENU_text__0046ca90,0x0046CA90,0x0046CAE4,84
FUN_MENU_text__0046caf0,0x0046CAF0,0x0046CB3C,76
FUN_MENU_text__0046cb40,0x0046CB40,0x0046CB90,80
FUN_MENU_text__0046cb90,0x0046CB90,0x0046CCB8,296
FUN_MENU_text__0046ccc0,0x0046CCC0,0x0046CEB4,500
FUN_MENU_text__0046cec0,0x0046CEC0,0x0046CF48,136
FUN_MENU_text__0046cf50,0x0046CF50,0x0046D14C,508
FUN_MENU_text__0046d150,0x0046D150,0x0046D214,196
FUN_MENU_text__0046d220,0x0046D220,0x0046D320,256
FUN_MENU_text__0046d320,0x0046D320,0x0046D35C,60
FUN_MENU_text__0046d360,0x0046D360,0x0046D3E4,132
FUN_MENU_text__0046d3f0,0x0046D3F0,0x0046D444,84
